,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
174,04/02/2024,Vizela,Guimaraes,0,2,0,1,0,-1
175,04/02/2024,Benfica,Gil Vicente,1,0,3,0,2,0
176,04/02/2024,Estoril,Estrela,2,1,1,0,-1,-1
177,04/02/2024,Sp Braga,Moreirense,2,1,1,0,-1,-1
178,05/02/2024,Casa Pia,Boavista,2,2,0,0,-2,-2
179,09/02/2024,Estrela,Portimonense,1,2,3,0,2,-2
180,10/02/2024,Farense,Famalicao,1,0,1,1,0,1
181,10/02/2024,Moreirense,Chaves,1,0,1,0,0,0
182,10/02/2024,Boavista,Estoril,0,1,2,1,2,0
183,11/02/2024,Rio Ave,Casa Pia,1,0,1,0,0,0
184,11/02/2024,Sp Lisbon,Sp Braga,3,0,5,0,2,0
185,11/02/2024,Guimaraes,Benfica,0,1,2,2,2,1
186,12/02/2024,Arouca,Porto,1,1,3,2,2,1
187,13/02/2024,Gil Vicente,Vizela,1,0,0,1,-1,1
188,16/02/2024,Famalicao,Rio Ave,0,0,2,1,2,1
189,17/02/2024,Chaves,Boavista,0,0,2,1,2,1
190,17/02/2024,Portimonense,Guimaraes,0,2,1,1,1,-1
191,17/02/2024,Porto,Estrela,2,1,2,0,0,-1
192,18/02/2024,Casa Pia,Arouca,0,3,1,0,1,-3
193,18/02/2024,Benfica,Vizela,5,0,6,1,1,1
194,18/02/2024,Estoril,Gil Vicente,1,1,1,3,0,2
195,18/02/2024,Sp Braga,Farense,1,1,2,1,1,0
196,19/02/2024,Moreirense,Sp Lisbon,0,3,0,2,0,-1
197,23/02/2024,Arouca,Famalicao,2,1,3,2,1,1
198,24/02/2024,Farense,Moreirense,1,0,0,1,-1,1
199,24/02/2024,Estrela,Chaves,1,1,1,1,0,0
200,24/02/2024,Guimaraes,Casa Pia,1,0,0,2,-1,2
201,25/02/2024,Vizela,Estoril,1,1,3,3,2,2
202,25/02/2024,Benfica,Portimonense,5,0,4,0,-1,0
203,25/02/2024,Gil Vicente,Porto,0,1,1,1,1,0
204,25/02/2024,Rio Ave,Sp Lisbon,0,2,3,3,3,1
205,26/02/2024,Boavista,Sp Braga,1,1,0,4,-1,3
206,01/03/2024,Chaves,Arouca,1,1,1,5,0,4
207,02/03/2024,Moreirense,Rio Ave,1,1,0,0,-1,-1
208,02/03/2024,Estoril,Guimaraes,2,1,1,3,-1,2
209,02/03/2024,Sp Braga,Estrela,2,0,3,0,1,0
210,03/03/2024,Casa Pia,Gil Vicente,1,1,0,0,-1,-1
211,03/03/2024,Portimonense,Vizela,2,2,0,0,-2,-2
212,03/03/2024,Sp Lisbon,Farense,5,0,3,2,-2,2
213,03/03/2024,Porto,Benfica,1,2,5,0,4,-2
214,04/03/2024,Famalicao,Boavista,3,0,1,1,-2,1
215,08/03/2024,Portimonense,Porto,0,2,0,3,0,1
216,08/03/2024,Estrela,Casa Pia,0,0,3,1,3,1
217,09/03/2024,Vizela,Farense,1,1,2,1,1,0
218,09/03/2024,Boavista,Moreirense,0,0,1,0,1,0
219,09/03/2024,Rio Ave,Sp Braga,0,1,0,0,0,-1
220,09/03/2024,Guimaraes,Famalicao,2,0,1,0,-1,0
221,10/03/2024,Arouca,Sp Lisbon,4,3,0,3,-4,0
222,10/03/2024,Benfica,Estoril,6,1,3,1,-3,0
223,11/03/2024,Gil Vicente,Chaves,1,0,0,0,-1,0
224,15/03/2024,Estoril,Portimonense,2,0,1,0,-1,0
225,16/03/2024,Famalicao,Estrela,1,1,0,0,-1,-1
226,16/03/2024,Farense,Rio Ave,0,1,1,1,1,0
227,16/03/2024,Sp Braga,Gil Vicente,1,0,2,1,1,1
228,16/03/2024,Porto,Vizela,4,0,4,1,0,1
229,17/03/2024,Chaves,Guimaraes,0,1,1,2,1,1
230,17/03/2024,Moreirense,Arouca,0,0,1,0,1,0
231,17/03/2024,Casa Pia,Benfica,1,2,0,1,-1,-1
232,17/03/2024,Sp Lisbon,Boavista,4,0,6,1,2,1
233,29/03/2024,Gil Vicente,Famalicao,0,0,1,2,1,2
234,29/03/2024,Benfica,Chaves,3,0,1,0,-2,0
235,29/03/2024,Estrela,Sp Lisbon,0,3,1,2,1,-1
236,30/03/2024,Arouca,Farense,2,1,2,1,0,0
237,30/03/2024,Guimaraes,Moreirense,0,0,1,0,1,0
238,30/03/2024,Boavista,Rio Ave,0,1,0,0,0,-1
239,30/03/2024,Estoril,Porto,0,3,1,0,1,-3
240,31/03/2024,Vizela,Casa Pia,1,0,0,4,-1,4
241,01/04/2024,Portimonense,Sp Braga,0,1,3,5,3,4
242,05/04/2024,Farense,Boavista,1,1,2,0,1,-1
243,06/04/2024,Famalicao,Vizela,2,0,3,2,1,2
244,06/04/2024,Rio Ave,Gil Vicente,0,0,3,0,3,0
245,06/04/2024,Sp Braga,Arouca,3,1,0,3,-3,2
246,06/04/2024,Sp Lisbon,Benfica,3,1,2,1,-1,0
247,07/04/2024,Chaves,Portimonense,1,1,2,3,1,2
248,07/04/2024,Moreirense,Estrela,0,0,2,2,2,2
249,07/04/2024,Porto,Guimaraes,1,0,1,2,0,2
250,08/04/2024,Casa Pia,Estoril,1,0,0,0,-1,0
251,12/04/2024,Gil Vicente,Sp Lisbon,0,3,0,4,0,1
252,13/04/2024,Guimaraes,Farense,1,0,1,1,0,1
253,13/04/2024,Porto,Famalicao,2,1,2,2,0,1
254,13/04/2024,Estoril,Sp Braga,1,1,0,1,-1,0
255,14/04/2024,Estrela,Rio Ave,0,1,2,2,2,1
256,14/04/2024,Arouca,Boavista,3,0,2,1,-1,1
257,14/04/2024,Portimonense,Casa Pia,1,2,2,2,1,0
258,14/04/2024,Benfica,Moreirense,1,0,3,0,2,0
259,15/04/2024,Vizela,Chaves,2,2,0,1,-2,-1
260,16/04/2024,Famalicao,Sp Lisbon,1,3,0,1,-1,-2
261,19/04/2024,Rio Ave,Arouca,1,1,1,1,0,0
262,20/04/2024,Moreirense,Gil Vicente,1,0,0,1,-1,1
263,20/04/2024,Boavista,Estrela,1,2,1,1,0,-1
264,20/04/2024,Sp Braga,Vizela,3,0,2,1,-1,1
265,21/04/2024,Chaves,Estoril,0,0,2,2,2,2
266,21/04/2024,Famalicao,Portimonense,2,1,2,2,0,1
267,21/04/2024,Casa Pia,Porto,1,1,1,2,0,1
268,21/04/2024,Sp Lisbon,Guimaraes,2,0,3,0,1,0
269,22/04/2024,Farense,Benfica,1,1,1,3,0,2
270,26/04/2024,Gil Vicente,Arouca,0,2,2,2,2,0
271,27/04/2024,Casa Pia,Chaves,1,1,3,1,2,0
272,27/04/2024,Vizela,Rio Ave,0,2,1,1,1,-1
273,27/04/2024,Benfica,Sp Braga,3,0,3,1,0,1
274,27/04/2024,Guimaraes,Boavista,1,0,1,0,0,0
275,28/04/2024,Portimonense,Moreirense,2,0,0,2,-2,2
276,28/04/2024,Estoril,Famalicao,1,1,1,0,0,-1
277,28/04/2024,Porto,Sp Lisbon,0,2,2,2,2,0
278,29/04/2024,Estrela,Farense,2,1,0,3,-2,2
279,03/05/2024,Moreirense,Vizela,1,0,1,0,0,0
280,04/05/2024,Boavista,Gil Vicente,1,1,1,1,0,0
281,04/05/2024,Rio Ave,Guimaraes,1,0,2,1,1,1
282,04/05/2024,Sp Lisbon,Portimonense,5,0,3,0,-2,0
283,04/05/2024,Chaves,Porto,1,2,0,3,-1,1
284,05/05/2024,Farense,Estoril,1,0,3,2,2,2
285,05/05/2024,Arouca,Estrela,3,0,0,0,-3,0
286,05/05/2024,Sp Braga,Casa Pia,1,2,4,3,3,1
287,05/05/2024,Famalicao,Benfica,0,2,2,0,2,-2
288,10/05/2024,Chaves,Famalicao,0,2,0,1,0,-1
289,11/05/2024,Portimonense,Rio Ave,1,2,2,2,1,0
290,11/05/2024,Vizela,Estrela,0,0,4,0,4,0
291,11/05/2024,Estoril,Sp Lisbon,0,2,0,1,0,-1
292,11/05/2024,Guimaraes,Sp Braga,2,2,2,3,0,1
293,12/05/2024,Gil Vicente,Farense,1,2,2,0,1,-2
294,12/05/2024,Benfica,Arouca,1,0,5,0,4,0
295,12/05/2024,Casa Pia,Moreirense,1,1,0,1,-1,0
296,12/05/2024,Porto,Boavista,2,0,2,1,0,1
297,17/05/2024,Famalicao,Casa Pia,1,0,1,2,0,2
298,17/05/2024,Rio Ave,Benfica,1,2,1,1,0,-1
299,18/05/2024,Arouca,Guimaraes,1,2,1,3,0,1
300,18/05/2024,Boavista,Vizela,1,1,2,2,1,1
301,18/05/2024,Estrela,Gil Vicente,0,2,1,0,1,-2
302,18/05/2024,Farense,Portimonense,2,1,1,3,-1,2
303,18/05/2024,Moreirense,Estoril,1,0,2,1,1,1
304,18/05/2024,Sp Lisbon,Chaves,3,0,3,0,0,0
305,18/05/2024,Sp Braga,Porto,2,3,0,1,-2,-2
